"date","pref","area","area_id","infected"
2020-07-01,"北海道","遠紋",1,0
2020-07-02,"北海道","遠紋",1,0
2020-07-03,"北海道","遠紋",1,0
2020-07-04,"北海道","遠紋",1,0
2020-07-05,"北海道","遠紋",1,0
2020-07-06,"北海道","遠紋",1,0
2020-07-07,"北海道","遠紋",1,0
2020-07-08,"北海道","遠紋",1,0
2020-07-09,"北海道","遠紋",1,0
2020-07-10,"北海道","遠紋",1,0
2020-07-11,"北海道","遠紋",1,0
2020-07-12,"北海道","遠紋",1,0
2020-07-13,"北海道","遠紋",1,0
2020-07-14,"北海道","遠紋",1,0
2020-07-15,"北海道","遠紋",1,0
2020-07-16,"北海道","遠紋",1,0
2020-07-17,"北海道","遠紋",1,0
2020-07-18,"北海道","遠紋",1,0
2020-07-19,"北海道","遠紋",1,0
2020-07-20,"北海道","遠紋",1,0
2020-07-21,"北海道","遠紋",1,0
2020-07-22,"北海道","遠紋",1,0
2020-07-23,"北海道","遠紋",1,0
2020-07-24,"北海道","遠紋",1,0
2020-07-25,"北海道","遠紋",1,0
2020-07-26,"北海道","遠紋",1,0
2020-07-27,"北海道","遠紋",1,0
2020-07-28,"北海道","遠紋",1,0
2020-07-29,"北海道","遠紋",1,0
2020-07-30,"北海道","遠紋",1,0
2020-07-31,"北海道","遠紋",1,0
2020-08-01,"北海道","遠紋",1,0
2020-08-02,"北海道","遠紋",1,0
2020-08-03,"北海道","遠紋",1,0
2020-08-04,"北海道","遠紋",1,0
2020-08-05,"北海道","遠紋",1,0
2020-08-06,"北海道","遠紋",1,0
2020-08-07,"北海道","遠紋",1,0
2020-08-08,"北海道","遠紋",1,0
2020-08-09,"北海道","遠紋",1,0
2020-08-10,"北海道","遠紋",1,0
2020-08-11,"北海道","遠紋",1,0
2020-08-12,"北海道","遠紋",1,0
2020-08-13,"北海道","遠紋",1,0
2020-08-14,"北海道","遠紋",1,0
2020-08-15,"北海道","遠紋",1,0
2020-08-16,"北海道","遠紋",1,0
2020-08-17,"北海道","遠紋",1,0
2020-08-18,"北海道","遠紋",1,0
2020-08-19,"北海道","遠紋",1,0
2020-08-20,"北海道","遠紋",1,0
2020-08-21,"北海道","遠紋",1,0
2020-08-22,"北海道","遠紋",1,0
2020-08-23,"北海道","遠紋",1,0
2020-08-24,"北海道","遠紋",1,0
2020-08-25,"北海道","遠紋",1,0
2020-08-26,"北海道","遠紋",1,0
2020-08-27,"北海道","遠紋",1,0
2020-08-28,"北海道","遠紋",1,0
2020-08-29,"北海道","遠紋",1,0
2020-08-30,"北海道","遠紋",1,0
2020-08-31,"北海道","遠紋",1,0
2020-09-01,"北海道","遠紋",1,0
2020-09-02,"北海道","遠紋",1,0
2020-09-03,"北海道","遠紋",1,0
2020-09-04,"北海道","遠紋",1,0
2020-09-05,"北海道","遠紋",1,0
2020-09-06,"北海道","遠紋",1,0
2020-09-07,"北海道","遠紋",1,0
