"area_name","n","公表日"
"空知",1,2020-09-25
"空知",0,2020-09-26
"空知",0,2020-09-27
"空知",0,2020-09-28
"空知",0,2020-09-29
"空知",0,2020-09-30
"空知",0,2020-10-01
"空知",0,2020-10-02
"空知",1,2020-10-03
"空知",0,2020-10-04
"空知",0,2020-10-05
"空知",0,2020-10-06
"空知",1,2020-10-07
"空知",2,2020-10-08
"空知",2,2020-10-09
"空知",0,2020-10-10
"空知",0,2020-10-11
"空知",1,2020-10-12
"空知",1,2020-10-13
"空知",0,2020-10-14
"空知",10,2020-10-15
"空知",2,2020-10-16
"空知",0,2020-10-17
"空知",1,2020-10-18
"空知",0,2020-10-19
"空知",0,2020-10-20
"空知",0,2020-10-21
"空知",0,2020-10-22
"空知",0,2020-10-23
"空知",1,2020-10-24
"空知",0,2020-10-25
"空知",0,2020-10-26
"空知",0,2020-10-27
"空知",0,2020-10-28
"空知",0,2020-10-29
"空知",3,2020-10-30
"空知",6,2020-10-31
"空知",1,2020-11-01
"空知",0,2020-11-02
"空知",1,2020-11-03
"空知",2,2020-11-04
"空知",1,2020-11-05
"空知",2,2020-11-06
"空知",7,2020-11-07
"空知",11,2020-11-08
"空知",9,2020-11-09
"空知",2,2020-11-10
"空知",4,2020-11-11
"空知",8,2020-11-12
"空知",16,2020-11-13
"空知",10,2020-11-14
"空知",6,2020-11-15
"空知",12,2020-11-16
"空知",3,2020-11-17
"空知",13,2020-11-18
"空知",7,2020-11-19
"空知",13,2020-11-20
"空知",3,2020-11-21
"空知",2,2020-11-22
"空知",5,2020-11-23
"空知",1,2020-11-24
"空知",6,2020-11-25
"空知",5,2020-11-26
"空知",25,2020-11-27
"空知",4,2020-11-28
"空知",4,2020-11-29
"空知",2,2020-11-30
"空知",4,2020-12-01
"空知",10,2020-12-02
"空知",8,2020-12-03
"空知",17,2020-12-04
"空知",9,2020-12-05
"空知",2,2020-12-06
"空知",2,2020-12-07
"空知",1,2020-12-08
"空知",3,2020-12-09
"空知",4,2020-12-10
"空知",1,2020-12-11
"空知",3,2020-12-12
"空知",3,2020-12-13
"空知",0,2020-12-14
"空知",1,2020-12-15
"空知",2,2020-12-16
"空知",3,2020-12-17
"空知",2,2020-12-18
"空知",2,2020-12-19
"空知",4,2020-12-20
"空知",0,2020-12-21
"空知",0,2020-12-22
"空知",1,2020-12-23
"空知",1,2020-12-24
"空知",5,2020-12-25
"空知",3,2020-12-26
"空知",1,2020-12-27
"空知",0,2020-12-28
"空知",2,2020-12-29
"空知",1,2020-12-30
"空知",1,2020-12-31
"空知",0,2021-01-01
"空知",0,2021-01-02
"空知",0,2021-01-03
"空知",0,2021-01-04
"空知",1,2021-01-05
"空知",1,2021-01-06
"空知",7,2021-01-07
"空知",3,2021-01-08
"空知",1,2021-01-09
"空知",2,2021-01-10
"空知",2,2021-01-11
"空知",2,2021-01-12
"空知",0,2021-01-13
"空知",2,2021-01-14
"空知",5,2021-01-15
"空知",2,2021-01-16
"空知",9,2021-01-17
"空知",1,2021-01-18
"空知",1,2021-01-19
"空知",3,2021-01-20
"空知",2,2021-01-21
